Activity Class,Sector,Unit,CO₂e Impact,Impact Type,Source,Confidence,Keywords,Required Input Type,Default Unit Cost,Uses Displacement,Displacement Default,Instrument Type
Implement Eco Zone Ring Road,Urban Planning,per km,"–3,000 tons",Mitigation,Town Planning Dept,Medium,"bypass ring road, eco zone",length_km,,FALSE,,zoning
Establish Forestry Carbon Bank,Forestry,per bank/year,–50 kt,Mitigation,UNDP,Medium,"forest carbon credits, carbon registry",number_units,,FALSE,,finance mechanism
Adopt hydrogen-based DRI in steel,Steel,per MTPA,–1.8 Mt/year,Mitigation,TBD,Medium,"hydrogen steel, H₂ steel, DRI",capacity_mtpa,,FALSE,,technology upgrade
Use electric arc furnace in steelmaking,Steel,per MTPA,–1.2 Mt/year,Mitigation,TBD,Medium,"EAF, scrap steel, electric furnace",capacity_mtpa,,FALSE,,technology switch
Mandate low-carbon construction steel,Steel,per MTPA,–1.0 Mt/year,Mitigation,TBD,Medium,"green steel, low emission steel",capacity_mtpa,,FALSE,,regulation
Retire blast furnace unit,Steel,per unit/year,–2.0 Mt/year,Mitigation,TBD,Medium,"blast furnace shutdown, old steel unit",number_units,,FALSE,,decommission
Green hydrogen electrolysis plant,Hydrogen,per GW,–1.4 Mt/year,Mitigation,TBD,Medium,"green hydrogen, electrolysis",capacity_gw,,FALSE,,infrastructure
Mandate hydrogen blending in gas grid,Hydrogen,per % blend/year,–0.5 Mt/year,Mitigation,TBD,Medium,"H₂ blending, pipeline hydrogen",percent_blend,,FALSE,,mandate
Subsidize hydrogen-powered buses,Transport,per bus/year,–22 tons,Mitigation,TBD,Medium,"H₂ bus, hydrogen fuel bus",number_units,,FALSE,,subsidy
Hydrogen refueling station rollout,Infrastructure,per station/year,–1.5 kt,Mitigation,TBD,Medium,"H₂ station, hydrogen refueling",number_units,,FALSE,,subsidy
Launch carbon pricing scheme,Cross-Sector,per scheme/year,–20 Mt/year,Mitigation,TBD,Medium,"ETS, carbon tax, cap-and-trade",number_units,,FALSE,,market mechanism
Issue green bonds for mitigation,Finance,per billion USD/year,–0.6 Mt/year,Mitigation,TBD,Medium,"green bond, climate finance",budget,,FALSE,,finance
Incentivize ESG disclosure,Finance,per firm/year,–0.01 Mt/year,Mitigation,TBD,Medium,"ESG mandate, climate disclosure",number_units,,FALSE,,regulation
National carbon offset registry,Finance,per registry/year,–2 Mt/year,Mitigation,TBD,Medium,"carbon credit system, offset mechanism",number_units,,FALSE,,governance
Mangrove restoration project,Forestry,per hectare/year,–6.0 tons,Mitigation,TBD,Medium,"mangrove planting, coastal resilience",area_ha,,FALSE,,conservation
Peatland rewetting,Land Use,per hectare/year,–5.0 tons,Mitigation,TBD,Medium,"peat restoration, wetland rewet",area_ha,,FALSE,,land use
Grassland conservation policy,Land Use,per hectare/year,–1.2 tons,Mitigation,TBD,Medium,"savanna conservation, grassland",area_ha,,FALSE,,policy
Blue carbon marine protected area,Blue Carbon,per MPA/year,–1.0 Mt/year,Mitigation,TBD,Medium,"blue carbon, sea grass, MPA",number_units,,FALSE,,regulation
Develop city heat action plans,Urban,per city/year,N/A,Adaptation,TBD,Medium,"heatwave plan, urban heat",number_units,,FALSE,,resilience
Upgrade cyclone early warning systems,Disaster Mgmt,per system/year,N/A,Adaptation,TBD,Medium,"cyclone alert, early warning",number_units,,FALSE,,infrastructure
Build sea walls/coastal buffer zones,Coastal Infra,per km,N/A,Adaptation,TBD,Medium,"coastal resilience, storm surge",length_km,,FALSE,,infrastructure
Fund urban flood resilience infra,Urban Infra,per project/year,N/A,Adaptation,TBD,Medium,"flood-proofing, sponge cities",number_units,,FALSE,,funding
Resilient agriculture planning,Agriculture,per district/year,N/A,Adaptation,TBD,Medium,"climate-resilient farming, seed bank",number_units,,FALSE,,capacity building
Direct air capture plant,Carbon Removal,per plant/year,–0.9 Mt/year,Mitigation,TBD,Medium,"DAC, direct CO₂ capture",number_units,,FALSE,,technology
Enhanced weathering of basalt,Land Use,per hectare/year,–2.5 tons,Mitigation,TBD,Medium,"basalt weathering, CDR minerals",area_ha,,FALSE,,innovation
